"date","candidate","name","sources","isretweeted","length","favorites","retweets","economy","security","covid19","healthcare","education","race","gun","crime","abortion","immigration","climate","foreign","taxes","deficit","china","russia","fakenews","info","trust","anger","anticipation","joy","negative","positive","sadness","surprise","fear","disgust"
2020-10-27 21:44:36,"Biden","LouieSTL75","iPhone",TRUE,140,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-10-27 21:44:43,"Biden","HaveWeAllGoneM1","Web",TRUE,140,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
2020-10-27 21:44:47,"Biden","AnitaHailey20","Web",TRUE,140,0,2715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
2020-10-27 21:44:53,"Biden","Warren587","Android",TRUE,140,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
2020-10-27 21:45:04,"Biden","CSAC_Counties","others",FALSE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
2020-10-27 21:45:18,"Biden","EarthGurl_kmac","Android",FALSE,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
2020-10-27 21:45:22,"Biden","eavesdropann","iPad",TRUE,140,0,2715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
2020-10-27 21:45:24,"Biden","CynthiaBoxerman","Android",FALSE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
2020-10-27 21:45:27,"Biden","KRitchie1971","iPhone",TRUE,140,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
2020-10-27 21:45:33,"Biden","justcities4all","Web",FALSE,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0
2020-10-27 21:45:47,"Biden","SWMDUSA","Web",TRUE,140,0,2715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
